#{"t_start": 1677753903.002829, "env_id": null}
r,l,t
1.0,1,4.117244
1.0,1,4.118288
1.0,1,4.119351
2.0,2,4.125179
2.0,2,4.128459
1.0,1,4.129528
1.0,1,4.130594
2.0,2,4.136193
4.0,4,4.146303
5.0,5,4.160235
3.0,3,4.166019
2.0,2,4.172299
1.0,1,4.17341
3.0,3,4.179182
3.0,3,4.187221
2.0,2,4.192839
1.0,1,4.195994
2.0,2,4.199373
7.0,7,4.216838
1.0,1,4.220777
2.0,2,4.224088
1.0,1,4.225194
3.0,3,4.233157
1.0,1,4.234387
2.0,2,4.237995
1.0,1,4.241703
2.0,2,4.245497
1.0,1,4.246567
2.0,2,4.252337
1.0,1,4.25352
4.0,4,4.263696
4.0,4,4.271531
2.0,2,4.277171
3.0,3,4.28288
1.0,1,4.294353
2.0,2,4.29931
1.0,1,4.300473
2.0,2,4.306016
2.0,2,4.309687
1.0,1,4.31089
4.0,4,4.321814
1.0,1,4.322885
5.0,5,4.335759
1.0,1,4.336803
3.0,3,4.344679
2.0,2,4.347958
2.0,2,4.353784
2.0,2,4.357052
1.0,1,4.358135
1.0,1,4.361266
1.0,1,4.362315
2.0,2,4.365612
1.0,1,4.366644
2.0,2,4.371728
1.0,1,4.372791
1.0,1,4.373866
2.0,2,4.379013
2.0,2,4.382254
1.0,1,4.38327
1.0,1,4.384432
2.0,2,4.389535
5.0,5,4.400958
1.0,1,4.402351
2.0,2,4.408614
1.0,1,4.417939
1.0,1,4.41922
1.0,1,4.420344
2.0,2,4.423797
4.0,4,4.44797
1.0,1,4.449078
8.0,8,4.471082
1.0,1,4.472115
2.0,2,4.477495
1.0,1,4.478518
1.0,1,4.479522
1.0,1,4.480535
2.0,2,4.485678
2.0,2,4.488872
1.0,1,4.48987
1.0,1,4.490915
4.0,4,4.500371
1.0,1,4.501404
1.0,1,4.50553
1.0,1,4.506542
2.0,2,4.509722
3.0,3,4.519643
1.0,1,4.520732
2.0,2,4.523966
2.0,2,4.529807
2.0,2,4.533054
1.0,1,4.534458
1.0,1,4.53768
2.0,2,4.540906
1.0,1,4.541944
2.0,2,4.54715
1.0,1,4.548188
1.0,1,4.549243
1.0,1,4.550275
1.0,1,4.551315
1.0,1,4.554321
2.0,2,4.557638
1.0,1,4.55864
2.0,2,4.56416
1.0,1,4.565309
1.0,1,4.566313
1.0,1,4.567318
1.0,1,4.568311
1.0,1,4.571518
1.0,1,4.572535
1.0,1,4.573543
1.0,1,4.574587
1.0,1,4.5756
1.0,1,4.57899
11.0,11,4.606885
1.0,1,4.608007
4.0,4,4.618497
3.0,3,4.626333
4.0,4,4.636933
6.0,6,4.652345
1.0,1,4.655693
2.0,2,4.659336
3.0,3,4.667634
3.0,3,4.673238
1.0,1,4.67432
2.0,2,4.680491
1.0,1,4.681529
1.0,1,4.682591
1.0,1,4.683618
2.0,2,4.690472
2.0,2,4.693627
1.0,1,4.694653
3.0,3,4.702106
1.0,1,4.703109
1.0,1,4.704093
2.0,2,4.709286
1.0,1,4.710287
1.0,1,4.711355
3.0,3,4.718664
1.0,1,4.719711
4.0,4,4.73097
2.0,2,4.73436
2.0,2,4.739861
1.0,1,4.740905
2.0,2,4.744073
1.0,1,4.745092
1.0,1,4.748892
2.0,2,4.752087
1.0,1,4.753099
2.0,2,4.758175
2.0,2,4.761324
2.0,2,4.764471
1.0,1,4.767409
1.0,1,4.76844
2.0,2,4.771612
